Area Codes,Area Names,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E01008086,Sheffield 009B,"1,331",23,27,16,25,15,18,24,18,21,13,24,23,17,26,23,11,17,23,13,15,10,17,10,12,18,16,18,18,14,20,21,18,14,20,23,11,20,21,14,16,16,13,10,9,9,25,18,22,19,26,22,25,17,18,22,13,16,16,14,8,11,16,20,12,14,15,9,4,6,9,14,11,10,9,6,5,8,12,12,11,5,9,8,9,3,5,3,1,3,3,7
E01008116,Sheffield 009C,"1,314",16,11,17,21,22,18,16,19,22,18,17,19,19,24,22,22,24,13,23,16,16,21,15,19,13,29,15,16,28,15,11,13,9,18,12,14,17,14,12,8,18,14,16,17,10,21,15,27,22,16,16,19,22,12,16,17,19,17,17,16,22,13,10,13,11,10,11,9,14,8,16,13,9,6,12,8,12,15,14,6,2,5,6,4,2,2,2,5,0,2,11
E01008117,Sheffield 009D,"1,326",17,17,7,15,5,17,25,15,13,22,20,26,25,25,12,16,14,24,14,12,17,11,12,10,17,21,18,22,15,23,12,22,20,20,13,20,20,22,13,10,17,23,12,19,18,17,14,14,15,19,16,24,15,19,12,17,16,10,12,12,20,17,17,13,15,14,10,13,11,18,16,20,9,17,13,12,6,4,6,7,8,2,8,8,7,8,4,3,4,3,13
E01008118,Sheffield 009E,"1,415",14,22,18,27,19,12,13,26,15,21,26,27,30,22,13,13,11,13,10,10,14,15,13,12,24,24,29,25,23,14,20,22,16,16,20,18,19,15,14,19,14,9,14,16,10,12,30,26,20,19,21,20,19,11,24,15,16,26,14,17,13,18,16,18,13,12,10,10,7,12,21,13,12,14,8,12,11,11,12,16,10,9,7,8,13,2,2,4,5,1,8
E01008119,Sheffield 009F,"1,253",23,10,27,18,19,20,26,29,21,19,23,18,17,21,23,12,27,13,18,13,15,21,13,13,14,21,14,16,15,14,15,12,20,14,20,15,16,15,16,11,11,17,13,16,13,20,22,18,17,21,18,16,25,23,22,13,15,13,10,10,7,12,12,6,3,11,8,9,8,15,12,6,8,8,9,3,7,9,6,7,4,5,8,4,8,2,1,1,1,1,12
E01008125,Sheffield 009G,"1,548",18,7,22,12,13,23,30,23,13,27,17,27,31,25,13,27,18,25,22,13,13,12,17,14,18,26,17,25,26,13,22,15,13,25,16,14,17,14,13,13,16,19,17,7,27,22,25,22,24,25,20,26,21,17,17,25,16,14,20,22,16,15,15,18,15,16,18,17,23,32,19,17,11,18,9,11,11,12,11,11,7,12,5,5,1,15,6,11,2,3,15
E01007849,Sheffield 010A,"2,244",31,35,36,43,39,36,45,32,39,25,41,37,30,39,26,39,28,31,34,30,31,38,32,33,30,34,34,30,33,29,34,46,31,44,31,33,31,20,31,25,31,29,31,29,21,33,26,29,28,24,36,30,43,29,27,22,22,18,13,17,19,12,14,15,18,14,7,14,10,8,19,18,21,21,15,23,6,13,8,11,15,5,9,6,2,5,9,4,7,5,7
E01007857,Sheffield 010B,"1,667",30,33,23,20,35,30,26,22,32,24,18,21,16,23,19,19,15,22,10,12,29,22,20,23,23,25,32,33,24,25,30,23,18,17,14,22,26,27,25,26,12,18,13,16,18,22,24,21,24,16,18,19,23,13,18,23,30,15,20,26,21,18,14,15,19,19,11,15,18,16,16,13,15,16,17,10,13,9,7,6,9,6,8,11,4,5,1,4,1,2,5
E01008059,Sheffield 010C,"1,538",16,25,32,35,19,31,28,30,24,28,28,25,21,20,26,17,15,12,12,11,18,19,21,17,18,21,31,25,22,20,25,17,23,13,12,21,23,16,20,15,14,16,12,15,21,22,24,20,24,23,27,18,23,25,18,18,18,18,26,18,14,25,12,6,11,9,5,15,14,9,21,14,12,15,11,7,6,7,7,2,6,2,5,6,2,7,12,10,5,2,7
E01008060,Sheffield 010D,"1,471",25,23,28,27,34,23,27,26,26,15,25,13,22,23,12,20,17,15,16,17,11,9,17,16,13,26,23,35,21,30,30,18,19,15,27,25,15,18,22,17,13,17,20,20,20,21,23,20,17,16,22,17,20,31,23,18,17,15,10,20,10,6,13,9,10,11,10,11,10,10,16,10,13,10,11,4,10,11,5,9,5,4,7,5,4,6,5,4,2,2,7
E01008061,Sheffield 011A,"1,641",26,29,31,31,28,28,37,27,19,23,28,25,27,27,26,21,19,21,17,13,13,16,17,22,17,35,24,28,28,31,20,11,21,17,22,19,23,19,19,12,18,18,25,18,22,21,30,20,15,25,12,22,19,22,20,19,23,21,21,24,18,14,21,10,4,9,13,6,11,14,14,6,9,15,11,12,12,10,8,7,12,9,8,7,12,4,3,3,3,3,21
E01008063,Sheffield 011B,"1,436",16,12,14,9,14,16,8,10,22,12,17,16,16,7,14,15,16,16,13,16,17,12,24,13,17,20,25,19,26,15,21,25,18,19,16,8,10,25,20,10,11,15,14,22,21,27,24,21,26,28,25,16,21,26,18,28,11,16,16,24,15,24,18,16,12,17,17,18,14,16,13,23,13,15,17,11,12,9,9,12,16,11,10,7,5,8,6,6,5,2,10
E01033277,Sheffield 011E,"2,739",36,52,45,48,47,60,51,54,57,34,55,44,41,32,27,32,37,43,24,28,23,28,33,31,35,59,71,59,64,65,50,39,51,47,41,46,38,34,39,39,26,26,26,23,36,26,29,41,32,34,32,34,25,27,25,28,35,30,20,30,23,23,18,25,23,16,24,15,16,29,19,24,10,16,12,10,12,11,15,8,7,9,6,4,6,3,6,8,2,2,13
E01008087,Sheffield 012A,"1,470",11,22,9,11,6,15,11,8,15,15,12,13,17,9,13,10,20,9,18,15,10,15,16,28,17,21,24,22,26,22,17,11,12,13,11,17,18,22,16,26,14,20,13,23,13,26,25,16,14,19,27,29,19,32,16,28,22,27,25,28,14,12,28,15,19,12,18,13,14,8,18,20,22,16,14,12,5,10,21,12,20,8,8,12,11,7,4,4,6,6,22
E01008088,Sheffield 012B,"1,356",9,10,11,9,16,17,16,7,11,10,7,13,10,14,16,11,5,10,13,11,10,10,11,13,11,31,18,33,26,19,16,25,26,13,19,16,10,17,22,12,16,22,4,12,17,18,26,28,24,22,11,27,25,18,27,23,28,16,18,27,12,8,15,18,11,13,11,12,17,14,24,9,21,17,9,13,10,14,14,16,17,16,9,11,8,3,3,7,4,1,6
E01008090,Sheffield 012C,"1,643",27,38,26,28,32,30,34,40,42,24,18,12,13,23,11,19,15,18,18,11,11,14,18,20,30,33,25,38,24,29,34,25,20,29,23,20,17,16,20,21,11,8,17,15,21,22,27,30,26,17,22,19,20,18,22,25,24,17,17,22,24,13,18,18,17,16,13,11,14,13,12,8,13,8,10,7,10,8,14,7,7,3,4,4,5,4,4,2,0,4,6
E01008092,Sheffield 012D,"1,457",22,21,20,22,20,15,18,14,15,8,18,21,13,13,8,13,9,12,11,11,11,13,10,7,16,24,22,21,17,26,24,23,17,18,31,23,20,20,15,16,14,17,16,19,18,23,16,31,23,19,20,20,17,17,32,17,22,17,15,11,18,11,12,17,14,20,12,12,13,17,17,16,13,17,14,9,6,8,12,9,5,6,11,13,9,12,14,7,4,6,41
E01008122,Sheffield 012E,"1,541",31,42,27,23,31,33,31,29,34,27,30,16,32,15,14,12,15,19,16,15,24,19,18,20,29,48,23,36,23,31,32,26,20,20,21,18,16,13,22,14,22,26,17,14,25,18,19,13,20,15,7,19,20,10,16,23,19,19,12,17,14,10,11,8,17,8,10,1,10,8,7,4,4,11,7,9,8,7,4,5,11,7,9,8,7,8,3,4,1,1,3
E01008124,Sheffield 012F,"1,480",47,37,47,29,34,33,25,29,24,22,23,21,14,14,12,19,14,14,12,10,19,11,24,18,29,35,54,29,28,37,30,26,28,27,19,20,20,20,24,19,20,18,19,11,16,14,17,16,14,13,22,20,11,11,22,14,16,11,12,8,13,7,13,14,12,7,16,8,6,10,5,6,5,3,4,7,6,6,2,1,3,5,4,3,2,0,1,0,3,0,6
E01007848,Sheffield 013A,"1,854",23,34,26,31,25,32,28,31,34,23,22,20,30,22,30,25,20,22,21,19,24,10,18,26,24,36,28,24,28,33,22,31,32,18,22,26,31,25,27,13,23,18,23,34,27,24,28,32,16,28,21,24,14,19,20,12,25,19,16,19,19,20,18,19,20,15,14,18,10,16,20,26,15,8,13,12,15,8,8,13,9,10,6,9,7,7,5,4,7,3,22
