LSOA.code,LSOA.name,Population.all,People_per_Sq_Km,Population.female,Population.male
E01008130,Sheffield 023B,"1,526",952,788,738
E01007933,Sheffield 068F,"1,576",855,790,786
E01008025,Sheffield 072D,"1,990",854,"1,029",961
E01008141,Sheffield 005E,"1,579",765,806,773
E01033269,Sheffield 022G,"2,109",735,"1,022","1,087"
E01007903,Sheffield 018A,"1,705",734,819,886
E01007902,Sheffield 027B,"1,775",708,850,925
E01008158,Sheffield 025D,"1,601",692,835,766
E01008144,Sheffield 001A,"1,676",655,841,835
E01007913,Sheffield 018C,"1,662",610,833,829
E01033280,Sheffield 008G,"1,574",560,761,813
E01007939,Sheffield 055F,"1,586",515,823,763
E01008135,Sheffield 005C,"1,683",302,855,828
E01007926,Sheffield 068E,"1,688",190,880,808
E01008147,Sheffield 002D,"1,382",119,714,668
E01008129,Sheffield 023A,"1,486",98,755,731
E01007956,Sheffield 041B,"2,092",71,"1,062","1,030"
E01008128,Sheffield 008C,"1,790",15,890,900
