LSOA.code,LSOA.name,Population.all,Littles,Teens,Twenties,Thirties,Fourties,Fifties,Sixties,Seventies,Eighties,Nineties
E01008035,Sheffield 063B,"1,153",113,127,98,129,207,198,139,103,35,4
E01008036,Sheffield 063C,"1,431",160,161,208,184,249,259,124,55,27,4
E01008041,Sheffield 063D,"1,471",219,185,143,180,273,297,112,42,14,6
E01007827,Sheffield 064A,"1,472",147,105,134,188,230,252,185,149,64,18
E01007830,Sheffield 064B,"1,486",110,159,121,118,235,227,186,171,119,40
E01007833,Sheffield 064C,"1,537",118,120,92,123,225,220,263,198,147,31
E01007984,Sheffield 064D,"1,436",157,150,128,187,242,210,166,133,51,12
E01008078,Sheffield 064E,"1,272",102,99,105,106,168,203,219,165,91,14
E01008079,Sheffield 064F,"1,282",156,156,68,128,208,196,177,115,57,21
E01008019,Sheffield 065A,"1,867",231,236,221,259,317,212,221,122,40,8
E01008020,Sheffield 065B,"1,388",154,111,168,148,199,253,202,104,43,6
E01008022,Sheffield 065C,"1,491",201,168,220,210,231,183,147,88,38,5
E01008027,Sheffield 065D,"1,528",209,171,174,183,259,142,165,117,81,27
E01008037,Sheffield 065E,"1,363",82,87,126,106,158,205,259,202,116,22
E01008039,Sheffield 065F,"1,265",92,92,154,120,142,200,224,163,68,10
E01007824,Sheffield 066A,"1,361",172,149,105,144,222,201,166,113,74,15
E01007825,Sheffield 066B,"1,506",159,146,105,129,229,234,213,157,104,30
E01007826,Sheffield 066C,"1,439",175,190,106,149,268,229,167,87,53,15
E01007834,Sheffield 066D,"1,629",169,161,117,170,249,223,211,191,117,21
E01007920,Sheffield 068A,"1,633",135,194,103,127,222,247,270,180,123,32
E01007921,Sheffield 068B,"1,564",139,171,105,91,231,211,231,210,139,36
E01007923,Sheffield 068C,"1,804",204,190,98,179,296,272,226,201,121,17
E01007925,Sheffield 068D,"1,667",196,174,106,155,254,242,232,169,126,13
E01007926,Sheffield 068E,"1,715",155,220,87,111,243,272,289,192,127,19
E01007933,Sheffield 068F,"1,611",160,249,110,112,254,289,238,128,65,6
E01007823,Sheffield 069A,"1,656",153,184,146,188,246,209,233,171,104,22
